FileName,md5Hash,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
VirusShare_a8de4476c3c61ba7de1d84fe3a60e735,a8de4476c3c61ba7de1d84fe3a60e735,332,56,44194,5,5,0,0,4096,6,20,4,262144,34816,37160,0,0
VirusShare_b089042ca0da14d87fb124aed96f74a0,b089042ca0da14d87fb124aed96f74a0,332,0,0,0,4,0,0,0,5,12,3,1048576,0,5824,0,0
VirusShare_3f11c83279dc94462ee5eb7759d2b8ad,3f11c83279dc94462ee5eb7759d2b8ad,332,0,0,0,5,0,0,36864,10,0,6,1048576,32768,1416,0,0
VirusShare_ec0784efe61dab40ded90379f6330371,ec0784efe61dab40ded90379f6330371,332,0,0,0,4,0,0,16384,6,0,4,1048576,0,32768,0,0
Microsoft.VisualStudio.Tools.Applications.HostAdapter.v10.0.ni (2).dll,a39b6606a8d59028bf826c334d1b0e1f,34404,28,86404,0,5,0,0,0,8,0,6,0,33088,1452,0,1
VirusShare_13a9574580640f337238d807013e1a70,13a9574580640f337238d807013e1a70,332,0,0,0,4,0,0,330752,2,50,7,1048576,0,37040,0,0
VirusShare_66444741502a224a99a6dceac0e3ecc9,66444741502a224a99a6dceac0e3ecc9,332,0,0,0,5,0,0,8192,9,0,5,1048576,32768,9816,0,0
VirusShare_aababf3fea38efe2c63e88938872cc4e,aababf3fea38efe2c63e88938872cc4e,332,0,0,16,4,0,0,4096,6,0,3,1048576,0,24528,0,0
VirusShare_1ec820d018e8edac1724f97e65680110,1ec820d018e8edac1724f97e65680110,332,0,0,0,5,0,0,4096,9,0,6,1048576,32768,864,0,0
VirusShare_8d953d874687a736708b068f8b973c65,8d953d874687a736708b068f8b973c65,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0,0
VirusShare_7255e08232fe7f51e9fb3c8453a1caeb,7255e08232fe7f51e9fb3c8453a1caeb,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0,0
KBDTIPRD (3).DLL,2149f0d0e9282fd2c4c97065551d323c,34404,84,12576,10,10,12480,84,0,14,10,4,262144,16736,1064,0,1
imkrotip (3).dll,8950cf1dd0d7ab755063c17f085963dd,332,84,22272,10,10,205168,165,212992,14,10,6,262144,16704,516464,0,1
VirusShare_1fbfbd9b32fbfd3f2a3d995dcd5b21a0,1fbfbd9b32fbfd3f2a3d995dcd5b21a0,332,0,0,0,4,0,0,0,2,25,6,0,1,2560,0,0
VirusShare_11a792754b51a91100af059907d98ad9,11a792754b51a91100af059907d98ad9,332,0,0,0,4,0,0,8192,5,12,4,1048576,0,7902408,0,0
VirusShare_4787e81d6f59a2d9ac35212707596200,4787e81d6f59a2d9ac35212707596200,332,0,0,0,5,0,0,192512,9,0,6,1048576,32768,19528,0,0
pcwrun.exe,b09bcf4df054d5f319a76c71c1493ef8,34404,84,13760,10,10,0,0,12560,14,10,6,524288,49504,2632,0,1
acmigration (2).dll,378469a8024a314cdf4ffd33b242cd54,34404,84,232128,10,10,249232,300,186704,14,12,6,262144,16736,1064,0,1
VirusShare_3868349af85d0bb444e007c793cb975c,3868349af85d0bb444e007c793cb975c,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0,0
Microsoft.Office.PowerPivot.ExcelAddIn.resources (24).dll,dbc27f0befcef647f4b3ac32ef6a5152,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1408,0,1
msys-gssapi-3 (2).dll,63295e8e2e7ba622ed6076cc5ac30199,34404,28,184320,0,4,208896,6862,219848,2,28,10,2097152,0,0,0,1
VirusShare_0cd7aa9c367a8f0f65ba790f8e0a2223,0cd7aa9c367a8f0f65ba790f8e0a2223,332,0,0,0,4,304752,52,0,6,0,3,1048576,0,1156,0,0
VirusShare_845dc55cccea0cf1e1c360fc9d7bfc7c,845dc55cccea0cf1e1c360fc9d7bfc7c,332,0,0,0,4,0,0,424324,2,50,3,1048576,0,0,0,0
VirusShare_fe0e742ea53ee4466e55310162740a71,fe0e742ea53ee4466e55310162740a71,332,0,0,0,4,0,0,0,5,12,8,1048576,0,326260,0,0
VirusShare_2c0910b31cdc4cd712c0bd1966ecfc0b,2c0910b31cdc4cd712c0bd1966ecfc0b,332,0,0,0,5,0,0,73728,9,0,10,1048576,32768,3840,0,0
VirusShare_3493f4efdae7fe0c6136e7556bf795e7,3493f4efdae7fe0c6136e7556bf795e7,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
