Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses
332,56,44194,5,5,0,0,4096,6,20,4,262144,34816,37160,0
332,0,0,0,4,0,0,0,5,12,3,1048576,0,5824,0
332,0,0,0,5,0,0,36864,10,0,6,1048576,32768,1416,0
332,0,0,0,4,0,0,16384,6,0,4,1048576,0,32768,0
34404,28,86404,0,5,0,0,0,8,0,6,0,33088,1452,0
332,0,0,0,4,0,0,330752,2,50,7,1048576,0,37040,0
332,0,0,0,5,0,0,8192,9,0,5,1048576,32768,9816,0
332,0,0,16,4,0,0,4096,6,0,3,1048576,0,24528,0
332,0,0,0,5,0,0,4096,9,0,6,1048576,32768,864,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0
34404,84,12576,10,10,12480,84,0,14,10,4,262144,16736,1064,0
332,84,22272,10,10,205168,165,212992,14,10,6,262144,16704,516464,0
332,0,0,0,4,0,0,0,2,25,6,0,1,2560,0
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,7902408,0
332,0,0,0,5,0,0,192512,9,0,6,1048576,32768,19528,0
34404,84,13760,10,10,0,0,12560,14,10,6,524288,49504,2632,0
34404,84,232128,10,10,249232,300,186704,14,12,6,262144,16736,1064,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1408,0
34404,28,184320,0,4,208896,6862,219848,2,28,10,2097152,0,0,0
332,0,0,0,4,304752,52,0,6,0,3,1048576,0,1156,0
332,0,0,0,4,0,0,424324,2,50,3,1048576,0,0,0
332,0,0,0,4,0,0,0,5,12,8,1048576,0,326260,0
332,0,0,0,5,0,0,73728,9,0,10,1048576,32768,3840,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,661424,0
332,0,0,0,5,0,0,4096,9,0,5,1048576,32768,1720,0
34404,84,574240,10,10,626928,152,517128,14,10,7,262144,16736,1096,0
332,0,0,0,5,0,0,200704,9,0,5,1048576,0,2824,0
332,28,4672,6,6,286528,208,4096,9,0,5,262144,320,1032,0
332,0,0,0,4,0,0,16384,1,71,4,1048576,0,21768,0
332,0,0,1,4,0,0,4096,6,0,3,1048576,0,23504,0
34404,28,4096,6,6,4128,688,0,9,0,2,262144,320,1008,0
34404,84,57488,10,10,60784,168,50048,14,10,7,262144,16736,15272,0
332,28,94208,0,4,0,0,103748,6,0,6,1048576,0,59920,0
34404,84,273120,10,10,0,0,224952,14,10,6,524288,49632,86800,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1092,0
34404,28,4768,6,6,0,0,4096,9,0,5,524288,33088,2088,0
34404,28,53248,0,4,0,0,70304,2,28,9,2097152,32768,1256,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1168,0
332,28,5120,6,6,48272,91,4096,9,0,4,262144,320,10992,0
332,0,0,1,4,0,0,4096,4,21,4,1048576,0,10328,0
332,28,2222100,0,4,0,0,8192,11,0,3,1048576,34144,1128,0
34404,28,5856,6,6,104112,335,4096,9,0,5,262144,64,6768,0
332,84,5760,10,10,0,0,32768,14,10,6,262144,49600,3592,0
332,0,0,0,4,0,0,0,6,0,4,1048576,0,1068704,0
332,0,0,0,4,0,0,159744,6,0,4,1048576,0,397648,0
332,84,13952,10,6,20816,162,32768,14,10,6,1048576,1344,992,0
332,0,0,0,4,0,0,8192,6,0,4,1048576,0,1968,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,278964,2,50,9,1048576,0,0,0
34404,84,352656,10,10,0,0,298328,14,10,7,524288,49504,536416,0
332,84,2585544,10,6,27760,371,2609152,14,10,6,1048576,320,52736,0
332,0,0,0,4,0,0,281260,2,50,4,1048576,0,7132,0
332,0,0,0,5,0,0,36864,9,0,5,1048576,32768,224,0
34404,84,11872,10,10,11760,112,0,14,10,4,262144,352,1040,0
34404,0,0,6,6,0,0,0,9,0,1,262144,320,224232,0
332,0,0,0,4,0,0,12288,6,0,3,1048576,0,0,0
332,0,0,9,5,217088,129,0,9,0,10,0,0,48508,0
332,0,0,5,8,335872,65,0,9,0,10,0,0,47964,0
332,0,0,0,4,0,0,0,0,57,2,0,1,174,0
332,0,0,9,6,0,0,0,5,0,3,1048576,0,3128,0
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,109020,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1528,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1392,0
332,0,0,0,4,0,0,56072,2,50,4,1048576,0,4708,0
34404,84,691024,10,10,797680,11592,671064,14,10,7,262144,16736,37544,0
332,0,0,5,9,249856,112,0,6,0,12,0,0,50308,0
332,0,0,0,4,0,0,0,66,88,9,1048576,0,112984,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1200,0
332,84,16352,10,10,80176,104,86016,14,10,6,262144,16704,8248,0
332,0,0,0,4,0,0,28672,6,0,5,1048576,0,4680,0
